dataset_index,initialization_index,stream_seed,anchor_step,reuse_commits,quality_readout_step,method,refresh_feature_ns,refresh_partition_ns,amortized_proxy_ns_per_commit,verifier_ns_per_commit,projected_total_ns_per_commit,within_stratum_utility_variance_v48,predicted_rmse_v48,observed_rmse_v48,sign_error_rate_v48,cross_block_regret_v48,selected_program_regret_v48,false_authorization_rate_v48,quality_mode
0,0,a303ea0000000002,600,25,625,nearest_centroid_quota_repair,17700,2820700,113536.00,491900,605436.00,1.105506749871e-5,3.393478349888e-4,3.404764244908e-4,2.511029411765e-1,7.589133450949e-4,7.892923984514e-4,1.093750000000e-1,stale_reuse
0,0,a303ea0000000002,600,25,625,hash_placebo_mean,0,14200,568.00,491900,492468.00,1.748301550361e-5,4.267429415487e-4,4.265420739608e-4,2.924517463235e-1,6.542472088853e-4,6.761518222618e-4,6.250000000000e-2,stale_reuse
0,0,a303ea0000000002,600,50,650,balanced_kmeans,17700,3057700,61508.00,494200,555708.00,1.211199788999e-5,3.551994435348e-4,3.551221873292e-4,2.686370481928e-1,3.526688431066e-4,3.661253483642e-4,3.125000000000e-2,stale_reuse
0,0,a303ea0000000002,600,50,650,warm_start_balanced_kmeans,17700,2651300,53380.00,494200,547580.00,1.211199788999e-5,3.551994435348e-4,3.551221873292e-4,2.686370481928e-1,3.526688431066e-4,3.661253483642e-4,3.125000000000e-2,stale_reuse
0,0,a303ea0000000002,600,50,650,projected_order_1d,17700,14600,646.00,494200,494846.00,1.419237855726e-5,3.844961334501e-4,3.885973771610e-4,3.066641566265e-1,3.844570680940e-4,3.979135733516e-4,3.125000000000e-2,stale_reuse
0,0,a303ea0000000002,600,50,650,nearest_centroid_quota_repair,17700,2820700,56768.00,494200,550968.00,1.211199788999e-5,3.551994435348e-4,3.551221873292e-4,2.686370481928e-1,3.526688431066e-4,3.661253483642e-4,3.125000000000e-2,stale_reuse
0,0,a303ea0000000002,600,50,650,hash_placebo_mean,0,14200,284.00,494200,494484.00,1.835135518637e-5,4.372145513785e-4,4.326491772323e-4,3.125117658133e-1,4.265326944619e-4,4.387745962049e-4,4.101562500000e-2,stale_reuse
0,0,a303ea0000000002,600,100,700,balanced_kmeans,17700,3057700,30754.00,492300,523054.00,1.245327168887e-5,3.601688216550e-4,3.586962188999e-4,2.780330882353e-1,4.119256781436e-4,4.337264843741e-4,1.093750000000e-1,stale_reuse
0,0,a303ea0000000002,600,100,700,warm_start_balanced_kmeans,17700,2651300,26690.00,492300,518990.00,1.245327168887e-5,3.601688216550e-4,3.586962188999e-4,2.780330882353e-1,4.119256781436e-4,4.337264843741e-4,1.093750000000e-1,stale_reuse
0,0,a303ea0000000002,600,100,700,projected_order_1d,17700,14600,323.00,492300,492623.00,1.476155047433e-5,3.921302727082e-4,3.962822163990e-4,3.002757352941e-1,4.992094139453e-4,5.607583206597e-4,1.718750000000e-1,stale_reuse
0,0,a303ea0000000002,600,100,700,nearest_centroid_quota_repair,17700,2820700,28384.00,492300,520684.00,1.245327168887e-5,3.601688216550e-4,3.586962188999e-4,2.780330882353e-1,4.119256781436e-4,4.337264843741e-4,1.093750000000e-1,stale_reuse
0,0,a303ea0000000002,600,100,700,hash_placebo_mean,0,14200,142.00,492300,492442.00,1.927743745320e-5,4.481066310682e-4,4.517855685593e-4,3.111213235294e-1,5.144930743599e-4,5.879762894700e-4,1.484375000000e-1,stale_reuse
0,0,a303ea0000000002,2400,1,2401,balanced_kmeans,13000,2797400,2810400.00,570700,3381100.00,5.803807993836e-5,7.775367082597e-4,7.666437881561e-4,2.752757352941e-1,7.362531170543e-4,1.028548032252e-3,3.906250000000e-1,stale_reuse
0,0,a303ea0000000002,2400,1,2401,warm_start_balanced_kmeans,13000,1071200,1084200.00,570700,1654900.00,5.828328310066e-5,7.791774716318e-4,7.449849289805e-4,2.927389705882e-1,6.130931500365e-4,9.563732184006e-4,4.375000000000e-1,stale_reuse
0,0,a303ea0000000002,2400,1,2401,projected_order_1d,13000,9800,22800.00,570700,593500.00,6.252635625839e-5,8.070416414442e-4,8.410850695875e-4,3.042279411765e-1,7.460632506877e-4,1.130852788435e-3,5.625000000000e-1,stale_reuse
0,0,a303ea0000000002,2400,1,2401,nearest_centroid_quota_repair,13000,50100,63100.00,570700,633800.00,6.099523502372e-5,7.970991353007e-4,7.888781198733e-4,2.933823529412e-1,6.674726303260e-4,1.121512391833e-3,5.000000000000e-1,stale_reuse
0,0,a303ea0000000002,2400,1,2401,hash_placebo_mean,0,0,0.00,570700,570700.00,7.270542777532e-5,8.702411271239e-4,8.726749705253e-4,2.999310661765e-1,7.425169387041e-4,1.133813508336e-3,5.312500000000e-1,stale_reuse
0,0,a303ea0000000002,2400,10,2410,balanced_kmeans,13000,2797400,281040.00,570500,851540.00,4.867101311027e-5,7.120321059465e-4,7.337988770141e-4,3.049632352941e-1,1.027492469802e-3,1.172689441546e-3,1.562500000000e-1,stale_reuse
0,0,a303ea0000000002,2400,10,2410,warm_start_balanced_kmeans,13000,1071200,108420.00,570500,678920.00,4.887483842887e-5,7.135214785139e-4,7.197408245097e-4,3.166360294118e-1,1.191137429487e-3,1.428120394394e-3,2.187500000000e-1,stale_reuse
0,0,a303ea0000000002,2400,10,2410,projected_order_1d,13000,9800,2280.00,570500,572780.00,5.194669060320e-5,7.356027191698e-4,7.309158157706e-4,3.096507352941e-1,1.179421286110e-3,1.318632125276e-3,1.250000000000e-1,stale_reuse
0,0,a303ea0000000002,2400,10,2410,nearest_centroid_quota_repair,13000,50100,6310.00,570500,576810.00,5.160859130303e-5,7.332049459325e-4,7.387901956408e-4,3.248161764706e-1,1.191545163863e-3,1.400498895237e-3,2.343750000000e-1,stale_reuse
0,0,a303ea0000000002,2400,10,2410,hash_placebo_mean,0,0,0.00,570500,570500.00,6.136866517268e-5,7.995241312502e-4,8.089494102844e-4,3.330422794118e-1,1.145332096030e-3,1.284422095054e-3,1.601562500000e-1,stale_reuse
0,0,a303ea0000000002,2400,25,2425,balanced_kmeans,13000,2797400,112416.00,490700,603116.00,6.035785862873e-5,7.929235108440e-4,7.893029783149e-4,3.259191176471e-1,6.375612128977e-4,8.044502026223e-4,3.750000000000e-1,stale_reuse
0,0,a303ea0000000002,2400,25,2425,warm_start_balanced_kmeans,13000,1071200,43368.00,490700,534068.00,6.054877643020e-5,7.941765679923e-4,8.124027453291e-4,3.121323529412e-1,6.335233970276e-4,8.184705196754e-4,3.437500000000e-1,stale_reuse
0,0,a303ea0000000002,2400,25,2425,projected_order_1d,13000,9800,912.00,490700,491612.00,6.420580656708e-5,8.178083425068e-4,7.898860555993e-4,3.308823529412e-1,6.710200843827e-4,8.972196371246e-4,3.593750000000e-1,stale_reuse
0,0,a303ea0000000002,2400,25,2425,nearest_centroid_quota_repair,13000,50100,2524.00,490700,493224.00,6.319164209549e-5,8.113237774329e-4,8.177856696623e-4,3.307904411765e-1,6.984387457578e-4,8.401762449921e-4,3.437500000000e-1,stale_reuse
0,0,a303ea0000000002,2400,25,2425,hash_placebo_mean,0,0,0.00,490700,490700.00,7.421770780909e-5,8.792539953062e-4,8.709638327008e-4,3.273552389706e-1,6.599316025415e-4,8.375028181575e-4,3.671875000000e-1,stale_reuse
0,0,a303ea0000000002,2400,50,2450,balanced_kmeans,13000,2797400,56208.00,490200,546408.00,5.789632772174e-5,7.765865998725e-4,8.265910269503e-4,2.610946745562e-1,6.509803820904e-4,7.427024020501e-4,1.406250000000e-1,stale_reuse
0,0,a303ea0000000002,2400,50,2450,warm_start_balanced_kmeans,13000,1071200,21684.00,490200,511884.00,5.806670469412e-5,7.777284276857e-4,7.948069632978e-4,2.916050295858e-1,7.221206802797e-4,9.017700478466e-4,2.500000000000e-1,stale_reuse
0,0,a303ea0000000002,2400,50,2450,projected_order_1d,13000,9800,456.00,490200,490656.00,6.176970643601e-5,8.021436542427e-4,8.068480459481e-4,2.968750000000e-1,7.739967044245e-4,9.633579542765e-4,3.281250000000e-1,stale_reuse
0,0,a303ea0000000002,2400,50,2450,nearest_centroid_quota_repair,13000,50100,1262.00,490200,491462.00,6.036696332986e-5,7.929833129934e-4,8.146852822855e-4,3.100961538462e-1,7.570892293529e-4,9.286825619199e-4,2.343750000000e-1,stale_reuse
0,0,a303ea0000000002,2400,50,2450,hash_placebo_mean,0,0,0.00,490200,490200.00,7.157117852404e-5,8.634343619633e-4,8.765042971829e-4,3.148807322485e-1,7.279343837325e-4,9.426607878069e-4,2.558593750000e-1,stale_reuse
0,0,a303ea0000000002,2400,100,2500,balanced_kmeans,13000,2797400,28104.00,519200,547304.00,4.918269276557e-5,7.157651264961e-4,7.159332384411e-4,3.056985294118e-1,5.551575237632e-4,7.667140677086e-4,4.375000000000e-1,stale_reuse
