dataset_index,initialization_index,stream_seed,state_step,anchor_step,partition_age,method,mode,candidate_count,within_stratum_utility_variance_v48,predicted_rmse_v48,observed_rmse_v48,sign_error_rate_v48,cross_block_regret_v48,selected_program_regret_v48,false_authorization_rate_v48
0,0,a303ea0000000001,700,600,100,warm_start_balanced_kmeans,stale_reuse,170,1.232132495926e-5,3.582556838241e-4,3.523263159353e-4,2.655330882353e-1,4.297063344438e-4,4.331461650509e-4,1.562500000000e-2
0,0,a303ea0000000001,700,600,100,projected_order_1d,fresh,170,1.530866344110e-5,3.993309957643e-4,3.948242185631e-4,2.829044117647e-1,4.673515970808e-4,4.673515970808e-4,0.000000000000e0
0,0,a303ea0000000001,700,600,100,projected_order_1d,stale_reuse,170,1.548090395912e-5,4.015711845251e-4,4.039924955186e-4,2.840992647059e-1,4.568069774677e-4,4.687131407195e-4,3.125000000000e-2
0,0,a303ea0000000001,700,600,100,nearest_centroid_quota_repair,fresh,170,1.275822062920e-5,3.645519600196e-4,3.753382896686e-4,2.708639705882e-1,3.375882972705e-4,3.572181710751e-4,4.687500000000e-2
0,0,a303ea0000000001,700,600,100,nearest_centroid_quota_repair,stale_reuse,170,1.232132495926e-5,3.582556838241e-4,3.523263159353e-4,2.655330882353e-1,4.297063344438e-4,4.331461650509e-4,1.562500000000e-2
0,0,a303ea0000000001,700,600,100,hash_placebo_00,placebo_component,170,2.136122277908e-5,4.717125579016e-4,4.610150042807e-4,3.011948529412e-1,4.432619944055e-4,4.674629262809e-4,4.687500000000e-2
0,0,a303ea0000000001,700,600,100,hash_placebo_01,placebo_component,170,2.060351027249e-5,4.632708696559e-4,4.729564165224e-4,2.994485294118e-1,4.001709331760e-4,4.093140296959e-4,0.000000000000e0
0,0,a303ea0000000001,700,600,100,hash_placebo_02,placebo_component,170,2.108465391380e-5,4.686489214776e-4,4.816315901224e-4,2.910845588235e-1,4.780914453022e-4,4.965504337520e-4,3.125000000000e-2
0,0,a303ea0000000001,700,600,100,hash_placebo_03,placebo_component,170,2.081800840751e-5,4.656761259126e-4,4.308007798365e-4,2.854779411765e-1,4.715219627087e-4,4.762143348671e-4,0.000000000000e0
0,0,a303ea0000000001,700,600,100,hash_placebo_04,placebo_component,170,2.056301581661e-5,4.628153858970e-4,4.854093710983e-4,3.198529411765e-1,5.257881481384e-4,5.602364604442e-4,6.250000000000e-2
0,0,a303ea0000000001,700,600,100,hash_placebo_05,placebo_component,170,2.092296795429e-5,4.668485652299e-4,4.897463890656e-4,2.967830882353e-1,4.819495836372e-4,5.006924314443e-4,7.812500000000e-2
0,0,a303ea0000000001,700,600,100,hash_placebo_06,placebo_component,170,2.107213811751e-5,4.685098064332e-4,4.393476485133e-4,2.814338235294e-1,4.848868382723e-4,4.875617719335e-4,1.562500000000e-2
0,0,a303ea0000000001,700,600,100,hash_placebo_07,placebo_component,170,2.024108335479e-5,4.591781988282e-4,4.479028277516e-4,2.916360294118e-1,4.308822734274e-4,4.403601119520e-4,3.125000000000e-2
0,0,a303ea0000000001,700,600,100,hash_placebo_mean,fixed_placebos,170,2.083332507701e-5,4.658325539170e-4,4.636012533988e-4,2.958639705882e-1,4.645691473835e-4,4.797990625462e-4,3.320312500000e-2
0,0,a303ea0000000001,2400,2400,0,balanced_kmeans,fresh,170,4.223721025008e-5,6.633030529894e-4,6.455909291481e-4,3.391544117647e-1,4.778459656336e-4,5.829120146927e-4,2.500000000000e-1
0,0,a303ea0000000001,2400,2400,0,balanced_kmeans,stale_reuse,170,4.223721025008e-5,6.633030529894e-4,6.455909291481e-4,3.391544117647e-1,4.778459656336e-4,5.829120146927e-4,2.500000000000e-1
0,0,a303ea0000000001,2400,2400,0,warm_start_balanced_kmeans,fresh,170,4.221494004631e-5,6.631281616820e-4,6.412568920036e-4,3.123161764706e-1,4.278750195681e-4,5.677057380353e-4,2.656250000000e-1
0,0,a303ea0000000001,2400,2400,0,warm_start_balanced_kmeans,stale_reuse,170,4.221494004631e-5,6.631281616820e-4,6.412568920036e-4,3.123161764706e-1,4.278750195681e-4,5.677057380353e-4,2.656250000000e-1
0,0,a303ea0000000001,2400,2400,0,projected_order_1d,fresh,170,4.650162211981e-5,6.959826844695e-4,6.860594370803e-4,3.237132352941e-1,4.144229287704e-4,4.904424805545e-4,2.187500000000e-1
0,0,a303ea0000000001,2400,2400,0,projected_order_1d,stale_reuse,170,4.650162211981e-5,6.959826844695e-4,6.860594370803e-4,3.237132352941e-1,4.144229287704e-4,4.904424805545e-4,2.187500000000e-1
0,0,a303ea0000000001,2400,2400,0,nearest_centroid_quota_repair,fresh,170,4.400035667021e-5,6.770059443225e-4,6.686803115518e-4,3.378676470588e-1,5.166280223534e-4,6.895016686599e-4,3.437500000000e-1
0,0,a303ea0000000001,2400,2400,0,nearest_centroid_quota_repair,stale_reuse,170,4.400035667021e-5,6.770059443225e-4,6.686803115518e-4,3.378676470588e-1,5.166280223534e-4,6.895016686599e-4,3.437500000000e-1
0,0,a303ea0000000001,2400,2400,0,hash_placebo_00,placebo_component,170,5.419598927118e-5,7.513598038943e-4,7.428199257291e-4,3.509191176471e-1,4.064970727882e-4,5.095479815509e-4,2.187500000000e-1
0,0,a303ea0000000001,2400,2400,0,hash_placebo_01,placebo_component,170,5.384617705237e-5,7.489310232784e-4,7.572534179653e-4,3.388786764706e-1,4.444332179219e-4,5.798929396406e-4,2.968750000000e-1
0,0,a303ea0000000001,2400,2400,0,hash_placebo_02,placebo_component,170,5.486345412450e-5,7.559724292571e-4,7.361275173429e-4,3.342830882353e-1,4.178929306136e-4,5.398914688044e-4,2.812500000000e-1
0,0,a303ea0000000001,2400,2400,0,hash_placebo_03,placebo_component,170,5.491245163525e-5,7.563099262431e-4,7.887021165726e-4,3.477941176471e-1,4.446577233921e-4,6.170072580289e-4,3.437500000000e-1
0,0,a303ea0000000001,2400,2400,0,hash_placebo_04,placebo_component,170,5.417991353703e-5,7.512483606266e-4,7.638747672170e-4,3.344669117647e-1,4.100103419091e-4,5.083160262416e-4,2.656250000000e-1
0,0,a303ea0000000001,2400,2400,0,hash_placebo_05,placebo_component,170,5.389348895449e-5,7.492599748703e-4,7.137860085418e-4,3.229779411765e-1,3.934665226097e-4,5.029459446177e-4,2.343750000000e-1
0,0,a303ea0000000001,2400,2400,0,hash_placebo_06,placebo_component,170,5.489888364649e-5,7.562164844260e-4,7.407311668496e-4,3.464154411765e-1,4.648042192912e-4,6.065371846375e-4,3.125000000000e-1
0,0,a303ea0000000001,2400,2400,0,hash_placebo_07,placebo_component,170,5.442530903073e-5,7.529477421464e-4,7.730388764403e-4,3.505514705882e-1,4.788084306142e-4,6.540404772295e-4,3.593750000000e-1
0,0,a303ea0000000001,2400,2400,0,hash_placebo_mean,fixed_placebos,170,5.440195840651e-5,7.527807180928e-4,7.520417245823e-4,3.407858455882e-1,4.325713073925e-4,5.647724100939e-4,2.890625000000e-1
0,0,a303ea0000000001,2401,2400,1,balanced_kmeans,fresh,170,4.373069772609e-5,6.749282193785e-4,6.763754078552e-4,3.118566176471e-1,4.929831591198e-4,6.621281761454e-4,3.906250000000e-1
0,0,a303ea0000000001,2401,2400,1,balanced_kmeans,stale_reuse,170,4.410929823055e-5,6.778435339872e-4,6.898381760325e-4,3.039522058824e-1,4.312221921055e-4,5.699323739154e-4,2.187500000000e-1
0,0,a303ea0000000001,2401,2400,1,warm_start_balanced_kmeans,fresh,170,4.409173627559e-5,6.777085800972e-4,6.833533913829e-4,3.228860294118e-1,4.492505711369e-4,5.957368202303e-4,2.812500000000e-1
0,0,a303ea0000000001,2401,2400,1,warm_start_balanced_kmeans,stale_reuse,170,4.409173627559e-5,6.777085800972e-4,6.833533913829e-4,3.228860294118e-1,4.492505711369e-4,5.957368202303e-4,2.812500000000e-1
0,0,a303ea0000000001,2401,2400,1,projected_order_1d,fresh,170,4.678437643309e-5,6.980954479950e-4,6.600151060686e-4,3.147058823529e-1,3.679711691120e-4,4.838361335828e-4,2.187500000000e-1
