dataset_index,initialization_index,anchor_step,reuse_commits,method,n_streams,amortized_proxy_ns,verifier_ns,projected_total_ns,within_variance_v48,predicted_rmse_v48,observed_rmse_v48,selected_program_regret_v48
0,2,2400,50,nearest_centroid_quota_repair,2,1280.00,498850.00,500130.00,2.532248446763e-5,5.112051320869e-4,5.191579515312e-4,9.246115987764e-4
0,2,2400,50,projected_order_1d,2,418.00,498850.00,499268.00,2.955622148634e-5,5.515890432521e-4,5.361905674576e-4,9.066785328287e-4
0,2,2400,50,warm_start_balanced_kmeans,2,44599.00,498850.00,543449.00,2.430895565768e-5,5.009579634956e-4,4.964323850476e-4,9.447544799173e-4
0,2,2400,100,balanced_kmeans,2,20271.50,492150.00,512421.50,2.862058700560e-5,5.429029049045e-4,5.466214223720e-4,8.481966560936e-4
0,2,2400,100,hash_placebo_mean,2,0.00,492150.00,492150.00,3.794200916471e-5,6.262501000278e-4,6.312433679215e-4,8.654977848996e-4
0,2,2400,100,nearest_centroid_quota_repair,2,640.00,492150.00,492790.00,2.991161709167e-5,5.555603758501e-4,5.559611626229e-4,8.013039376920e-4
0,2,2400,100,projected_order_1d,2,209.00,492150.00,492359.00,3.415837260538e-5,5.930630198685e-4,5.794970329438e-4,8.710701213204e-4
0,2,2400,100,warm_start_balanced_kmeans,2,22299.50,492150.00,514449.50,2.845445779628e-5,5.414632556848e-4,5.416692396252e-4,7.646061300903e-4
1,0,600,1,balanced_kmeans,2,1922250.00,523500.00,2445750.00,6.068594669236e-6,2.513353179573e-4,2.536828442680e-4,2.433021043089e-4
1,0,600,1,hash_placebo_mean,2,14200.00,523500.00,537700.00,1.301088815923e-5,3.679011517875e-4,3.654425497355e-4,3.964024707832e-4
1,0,600,1,nearest_centroid_quota_repair,2,2476000.00,523500.00,2999500.00,6.068594669236e-6,2.513353179573e-4,2.536828442680e-4,2.433021043089e-4
1,0,600,1,projected_order_1d,2,21300.00,523500.00,544800.00,7.694869118378e-6,2.830273623975e-4,2.785906704600e-4,3.204837687676e-4
1,0,600,1,warm_start_balanced_kmeans,2,1870300.00,523500.00,2393800.00,6.068594669236e-6,2.513353179573e-4,2.536828442680e-4,2.433021043089e-4
1,0,600,10,balanced_kmeans,2,192225.00,496950.00,689175.00,6.305475319592e-6,2.560869371523e-4,2.529054835206e-4,3.211715529687e-4
