dataset_index,initialization_index,stream_seed,state_step,anchor_step,age,method,feature_dimensions,feature_payload_bytes,feature_acquisition_median_ns,partition_build_median_ns,iterations,within_sse,measurement_repetitions
0,1,a303ea0000000003,2500,2400,100,balanced_kmeans,27,20736,9200,2445000,6,1.640235357302e1,3
0,1,a303ea0000000003,2500,2400,100,warm_start_balanced_kmeans,27,20736,9200,952600,3,1.600333215477e1,3
0,1,a303ea0000000003,2500,2400,100,projected_order_1d,27,20736,9200,10000,1,5.750191414632e1,3
0,1,a303ea0000000003,2500,2400,100,nearest_centroid_quota_repair,27,20736,9200,31900,1,2.103773233841e1,3
0,1,a303ea0000000003,2500,2400,100,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,1,a303ea0000000004,600,600,0,balanced_kmeans,27,20736,9500,1957700,5,5.361804489420e0,3
0,1,a303ea0000000004,600,600,0,warm_start_balanced_kmeans,27,20736,9500,1986500,5,5.361804489420e0,3
0,1,a303ea0000000004,600,600,0,projected_order_1d,27,20736,9500,9800,1,3.317111280069e1,3
0,1,a303ea0000000004,600,600,0,nearest_centroid_quota_repair,27,20736,9500,2105300,5,5.361804489420e0,3
0,1,a303ea0000000004,600,600,0,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,1,a303ea0000000004,601,600,1,balanced_kmeans,27,20736,9300,2160700,5,5.345592730131e0,3
0,1,a303ea0000000004,601,600,1,warm_start_balanced_kmeans,27,20736,9300,662800,2,5.345592730131e0,3
0,1,a303ea0000000004,601,600,1,projected_order_1d,27,20736,9300,9900,1,3.332644962119e1,3
0,1,a303ea0000000004,601,600,1,nearest_centroid_quota_repair,27,20736,9300,40700,1,6.255003545049e0,3
0,1,a303ea0000000004,601,600,1,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,1,a303ea0000000004,610,600,10,balanced_kmeans,27,20736,13300,1781100,4,5.986534859632e0,3
0,1,a303ea0000000004,610,600,10,warm_start_balanced_kmeans,27,20736,13300,676100,2,6.048841681319e0,3
0,1,a303ea0000000004,610,600,10,projected_order_1d,27,20736,13300,9800,1,4.031322471122e1,3
0,1,a303ea0000000004,610,600,10,nearest_centroid_quota_repair,27,20736,13300,38100,1,7.337784824104e0,3
0,1,a303ea0000000004,610,600,10,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,1,a303ea0000000004,625,600,25,balanced_kmeans,27,20736,13300,1448800,4,6.202169854800e0,3
0,1,a303ea0000000004,625,600,25,warm_start_balanced_kmeans,27,20736,13300,592700,2,6.199842716568e0,3
0,1,a303ea0000000004,625,600,25,projected_order_1d,27,20736,13300,9800,1,4.007612288966e1,3
0,1,a303ea0000000004,625,600,25,nearest_centroid_quota_repair,27,20736,13300,32800,1,7.339610069497e0,3
0,1,a303ea0000000004,625,600,25,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,1,a303ea0000000004,650,600,50,balanced_kmeans,27,20736,9200,1932900,5,6.031801156492e0,3
0,1,a303ea0000000004,650,600,50,warm_start_balanced_kmeans,27,20736,9200,610400,2,6.028971203671e0,3
0,1,a303ea0000000004,650,600,50,projected_order_1d,27,20736,9200,15800,1,3.960864128282e1,3
0,1,a303ea0000000004,650,600,50,nearest_centroid_quota_repair,27,20736,9200,46400,1,8.067882337652e0,3
0,1,a303ea0000000004,650,600,50,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,1,a303ea0000000004,700,600,100,balanced_kmeans,27,20736,9500,1629300,4,6.396860276217e0,3
0,1,a303ea0000000004,700,600,100,warm_start_balanced_kmeans,27,20736,9500,1157800,3,6.333993158293e0,3
0,1,a303ea0000000004,700,600,100,projected_order_1d,27,20736,9500,9800,1,4.158944703451e1,3
