cell_id,dataset_id,initialization_id,arm,step,train_loss,final_loss,final_accuracy,population_loss,population_accuracy,operational_loss,operational_gap,verifier_size,support_size,panel_id
6,1,1,sentinel_k16_blocked,0,1.099622607,1.122729659,0.291666657,1.105541348,0.346923828,1.129945755,0.007216096,128,2048,0
6,1,1,sentinel_k16_blocked,600,0.853736341,0.938597381,0.479166657,0.993961036,0.489501953,0.851086795,-0.087510586,128,2048,2
6,1,1,sentinel_k16_blocked,2400,0.613088548,0.958841145,0.583333313,0.774032354,0.690917969,0.815777063,-0.143064082,128,2048,9
6,1,1,sentinel_k16_blocked,4200,0.843525887,0.838528156,0.666666687,0.871653318,0.694824219,0.281814724,-0.556713462,128,2048,15
6,1,1,sentinel_k16_pooled,0,1.099622607,1.122729659,0.291666657,1.105541348,0.346923828,1.107936621,-0.014793038,2048,2048,0
6,1,1,sentinel_k16_pooled,600,0.856962204,0.844488204,0.666666687,0.874069273,0.557373047,0.849818468,0.005330265,2048,2048,0
6,1,1,sentinel_k16_pooled,2400,0.514969647,0.559669554,0.770833313,0.584743738,0.754394531,0.490317643,-0.069351912,2048,2048,0
6,1,1,sentinel_k16_pooled,4200,0.484822005,0.578883052,0.781250000,0.588534832,0.752929688,0.458409041,-0.120474011,2048,2048,0
6,1,1,sentinel_k64_cyclic,0,1.099622607,1.122729659,0.291666657,1.105541348,0.346923828,1.129945755,0.007216096,128,8192,0
6,1,1,sentinel_k64_cyclic,600,0.882258236,0.913600624,0.572916687,0.954651058,0.496337891,0.931053877,0.017453253,128,8192,21
6,1,1,sentinel_k64_cyclic,2400,0.741391003,0.870237112,0.572916687,0.869933844,0.598876953,0.862069845,-0.008167267,128,8192,23
6,1,1,sentinel_k64_cyclic,4200,0.603433073,0.751278639,0.708333313,0.733036876,0.687988281,0.684667766,-0.066610873,128,8192,25
6,1,1,sentinel_fresh,0,1.099622607,1.122729659,0.291666657,1.105541348,0.346923828,1.129945755,0.007216096,128,128,0
6,1,1,sentinel_fresh,600,0.882020772,0.920659304,0.583333313,0.953677416,0.494628906,0.946110368,0.025451064,128,19200,149
6,1,1,sentinel_fresh,2400,0.780079424,0.849360287,0.593750000,0.877668858,0.556884766,0.863403976,0.014043689,128,76800,599
