cell_id,arm,step,train_loss,model_offset,model_bytes
17,sentinel_k16_pooled,4200,0.728949308,338580,684
17,sentinel_k64_cyclic,0,1.109087944,339264,684
17,sentinel_k64_cyclic,600,1.001947999,339948,684
17,sentinel_k64_cyclic,2400,0.791074216,340632,684
17,sentinel_k64_cyclic,4200,0.744085133,341316,684
17,sentinel_fresh,0,1.109087944,342000,684
17,sentinel_fresh,600,0.992529929,342684,684
17,sentinel_fresh,2400,0.833209455,343368,684
17,sentinel_fresh,4200,0.779987991,344052,684
18,sentinel_k1,0,1.095609307,344736,684
18,sentinel_k1,600,1.178656459,345420,684
18,sentinel_k1,2400,1.931884170,346104,684
18,sentinel_k1,4200,5.022895336,346788,684
18,sentinel_k4_cyclic,0,1.095609307,347472,684
18,sentinel_k4_cyclic,600,1.014907837,348156,684
18,sentinel_k4_cyclic,2400,0.850446701,348840,684
18,sentinel_k4_cyclic,4200,0.824654520,349524,684
18,sentinel_k16_cyclic,0,1.095609307,350208,684
18,sentinel_k16_cyclic,600,1.047966361,350892,684
18,sentinel_k16_cyclic,2400,0.825048745,351576,684
