fit_id,operator_id,arm,adapter_seed,graph_realization,control_seed,teacher_seed,learner_seed,status,heldout_bce,heldout_accuracy,final_train_loss
"degree-a1103-g2101-cx-t6101-l7101","degree-a1103-g2101-cx","degree",1103,2101,,6101,7101,"complete",0.251000459168905,0.9091796875,0.06229088449398458
"degree-a1103-g2101-cx-t6101-l7102","degree-a1103-g2101-cx","degree",1103,2101,,6101,7102,"complete",0.2324357705777509,0.906494140625,0.06780301142593634
"degree-a1103-g2101-cx-t6101-l7103","degree-a1103-g2101-cx","degree",1103,2101,,6101,7103,"complete",0.24668864154923104,0.912109375,0.06390444463005228
"degree-a1103-g2101-cx-t6101-l7104","degree-a1103-g2101-cx","degree",1103,2101,,6101,7104,"complete",0.24752556051222113,0.914306640625,0.06382371390796862
"degree-a1103-g2101-cx-t6102-l7101","degree-a1103-g2101-cx","degree",1103,2101,,6102,7101,"complete",0.2348219698953966,0.909912109375,0.06893103641487064
"degree-a1103-g2101-cx-t6102-l7102","degree-a1103-g2101-cx","degree",1103,2101,,6102,7102,"complete",0.23347065274138537,0.9072265625,0.07257395357462286
"degree-a1103-g2101-cx-t6102-l7103","degree-a1103-g2101-cx","degree",1103,2101,,6102,7103,"complete",0.23483580236635895,0.90625,0.06848548214617695
"degree-a1103-g2101-cx-t6102-l7104","degree-a1103-g2101-cx","degree",1103,2101,,6102,7104,"complete",0.2340081860867839,0.910400390625,0.06847401133958397
"degree-a1103-g2101-cx-t6103-l7101","degree-a1103-g2101-cx","degree",1103,2101,,6103,7101,"complete",0.27331250972530546,0.8955078125,0.07477564391892949
"degree-a1103-g2101-cx-t6103-l7102","degree-a1103-g2101-cx","degree",1103,2101,,6103,7102,"complete",0.27761115861692004,0.891845703125,0.07308681349373386
"degree-a1103-g2101-cx-t6103-l7103","degree-a1103-g2101-cx","degree",1103,2101,,6103,7103,"complete",0.2753069066058068,0.899169921875,0.07851910160373439
"degree-a1103-g2101-cx-t6103-l7104","degree-a1103-g2101-cx","degree",1103,2101,,6103,7104,"complete",0.2751387003087802,0.895263671875,0.07467471841810955
"degree-a1103-g2101-cx-t6104-l7101","degree-a1103-g2101-cx","degree",1103,2101,,6104,7101,"complete",0.2716177837612612,0.894775390625,0.08104666332832183
"degree-a1103-g2101-cx-t6104-l7102","degree-a1103-g2101-cx","degree",1103,2101,,6104,7102,"complete",0.2792563007163008,0.89404296875,0.07841554530354189
"degree-a1103-g2101-cx-t6104-l7103","degree-a1103-g2101-cx","degree",1103,2101,,6104,7103,"complete",0.27468006144094087,0.893310546875,0.0834777801273155
"degree-a1103-g2101-cx-t6104-l7104","degree-a1103-g2101-cx","degree",1103,2101,,6104,7104,"complete",0.27967324169905755,0.895751953125,0.0734517945235703
"degree-a1104-g2101-cx-t6101-l7101","degree-a1104-g2101-cx","degree",1104,2101,,6101,7101,"complete",0.25102758174022954,0.907958984375,0.062262248836324155
"degree-a1104-g2101-cx-t6101-l7102","degree-a1104-g2101-cx","degree",1104,2101,,6101,7102,"complete",0.23244666452820872,0.90625,0.06780704992421879
"degree-a1104-g2101-cx-t6101-l7103","degree-a1104-g2101-cx","degree",1104,2101,,6101,7103,"complete",0.2466364199529631,0.912109375,0.06394284458544845
"degree-a1104-g2101-cx-t6101-l7104","degree-a1104-g2101-cx","degree",1104,2101,,6101,7104,"complete",0.247438685436856,0.91455078125,0.0637938287866056
"degree-a1104-g2101-cx-t6102-l7101","degree-a1104-g2101-cx","degree",1104,2101,,6102,7101,"complete",0.23490334192448045,0.910400390625,0.0689532124701125
"degree-a1104-g2101-cx-t6102-l7102","degree-a1104-g2101-cx","degree",1104,2101,,6102,7102,"complete",0.23348077907909717,0.906982421875,0.07252393800941555
"degree-a1104-g2101-cx-t6102-l7103","degree-a1104-g2101-cx","degree",1104,2101,,6102,7103,"complete",0.23490553036410797,0.9072265625,0.0684594704053676
"degree-a1104-g2101-cx-t6102-l7104","degree-a1104-g2101-cx","degree",1104,2101,,6102,7104,"complete",0.23406725639902937,0.909912109375,0.06847292587872084
"degree-a1104-g2101-cx-t6103-l7101","degree-a1104-g2101-cx","degree",1104,2101,,6103,7101,"complete",0.27332104009038916,0.895751953125,0.07480951488034625
"degree-a1104-g2101-cx-t6103-l7102","degree-a1104-g2101-cx","degree",1104,2101,,6103,7102,"complete",0.27760750754570074,0.891357421875,0.07308382177151386
"degree-a1104-g2101-cx-t6103-l7103","degree-a1104-g2101-cx","degree",1104,2101,,6103,7103,"complete",0.2754066103434655,0.899169921875,0.07851733319522526
