seed,snapshot,source_kind,source_program_ordinal,step_offset,global_commit,step_status,program_present,program_left,program_right,program_len,delta_left,delta_right,invalid_source_step
9f4a7c15d6e8b301,2400,ACTION,2,36,2436,generated,true,108,88,2,-0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,37,2437,generated,true,15,60,2,0.01,0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,38,2438,generated,true,112,88,2,0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,39,2439,generated,true,112,90,2,0.02,-0.01,0
9f4a7c15d6e8b301,2400,ACTION,2,40,2440,generated,true,14,67,2,0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,41,2441,generated,true,22,61,2,-0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,42,2442,generated,true,14,71,2,0.02,0.01,0
9f4a7c15d6e8b301,2400,ACTION,2,43,2443,generated,true,22,65,2,-0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,44,2444,generated,true,23,66,2,0.02,-0.01,0
9f4a7c15d6e8b301,2400,ACTION,2,45,2445,generated,true,23,68,2,0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,46,2446,generated,true,37,56,2,0.005,0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,47,2447,generated,true,4,91,2,0.02,0,0
9f4a7c15d6e8b301,2400,ACTION,2,48,2448,generated,true,23,74,2,-0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,49,2449,generated,true,23,76,2,-0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,50,2450,generated,true,23,78,2,-0.02,-0.01,0
9f4a7c15d6e8b301,2400,ACTION,2,51,2451,generated,true,23,80,2,-0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,52,2452,generated,true,14,91,2,0.02,0,0
9f4a7c15d6e8b301,2400,ACTION,2,53,2453,generated,true,28,79,2,-0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,54,2454,generated,true,28,81,2,-0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,55,2455,generated,true,28,83,2,-0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,56,2456,generated,true,21,92,2,-0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,57,2457,generated,true,16,99,2,-0.02,0,0
9f4a7c15d6e8b301,2400,ACTION,2,58,2458,generated,true,16,101,2,-0.02,-0.01,0
9f4a7c15d6e8b301,2400,ACTION,2,59,2459,generated,true,40,79,2,-0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,60,2460,generated,true,12,109,2,0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,61,2461,generated,true,34,89,2,0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,62,2462,generated,true,5,120,2,0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,63,2463,generated,true,12,115,2,0.02,0,0
9f4a7c15d6e8b301,2400,ACTION,30,1,2401,generated,true,105,21,2,0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,2,2402,generated,true,116,12,2,-0.01,0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,3,2403,generated,true,118,12,2,-0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,4,2404,generated,true,109,23,2,-0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,5,2405,generated,true,111,23,2,-0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,6,2406,generated,true,102,34,2,0.02,-0.01,0
9f4a7c15d6e8b301,2400,ACTION,30,7,2407,generated,true,74,64,2,0.02,0.01,0
9f4a7c15d6e8b301,2400,ACTION,30,8,2408,generated,true,3,14,2,0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,9,2409,generated,true,4,15,2,0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,10,2410,generated,true,6,15,2,0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,11,2411,generated,true,8,15,2,-0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,12,2412,generated,true,2,23,2,-0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,13,2413,generated,true,13,14,2,-0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,14,2414,generated,true,9,20,2,0.02,-0.01,0
9f4a7c15d6e8b301,2400,ACTION,30,15,2415,generated,true,9,22,2,0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,16,2416,generated,true,0,33,2,0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,17,2417,generated,true,11,24,2,0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,18,2418,generated,true,105,55,2,0.02,0,0
9f4a7c15d6e8b301,2400,ACTION,30,19,2419,generated,true,10,29,2,0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,20,2420,generated,true,19,22,2,-0.01,0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,21,2421,generated,true,21,22,2,0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,22,2422,generated,true,22,23,2,0.02,-0.01,0
9f4a7c15d6e8b301,2400,ACTION,30,23,2423,generated,true,19,28,2,-0.01,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,24,2424,generated,true,23,26,2,-0.01,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,25,2425,generated,true,15,36,2,0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,26,2426,generated,true,20,33,2,0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,27,2427,generated,true,20,35,2,0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,28,2428,generated,true,15,42,2,0.02,-0.01,0
9f4a7c15d6e8b301,2400,ACTION,30,29,2429,generated,true,15,44,2,0.02,-0.01,0
9f4a7c15d6e8b301,2400,ACTION,30,30,2430,generated,true,15,46,2,0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,31,2431,generated,true,112,74,2,0.02,-0.01,0
9f4a7c15d6e8b301,2400,ACTION,30,32,2432,generated,true,26,39,2,-0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,33,2433,generated,true,116,74,2,0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,34,2434,generated,true,4,65,2,-0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,35,2435,generated,true,4,67,2,-0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,36,2436,generated,true,108,88,2,-0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,37,2437,generated,true,110,88,2,-0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,38,2438,generated,true,112,88,2,0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,39,2439,generated,true,15,64,2,0.01,-0.01,0
9f4a7c15d6e8b301,2400,ACTION,30,40,2440,generated,true,14,67,2,0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,41,2441,generated,true,14,69,2,0.02,0.01,0
9f4a7c15d6e8b301,2400,ACTION,30,42,2442,generated,true,22,63,2,-0.02,-0.01,0
9f4a7c15d6e8b301,2400,ACTION,30,43,2443,generated,true,14,73,2,0.02,-0.01,0
9f4a7c15d6e8b301,2400,ACTION,30,44,2444,generated,true,23,66,2,0.02,0.005,0
9f4a7c15d6e8b301,2400,ACTION,30,45,2445,generated,true,23,68,2,0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,46,2446,generated,true,8,85,2,0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,47,2447,generated,true,23,72,2,0.01,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,48,2448,generated,true,23,74,2,-0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,49,2449,generated,true,23,76,2,-0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,50,2450,generated,true,23,78,2,-0.02,-0.01,0
9f4a7c15d6e8b301,2400,ACTION,30,51,2451,generated,true,23,80,2,-0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,52,2452,generated,true,28,77,2,-0.02,0.01,0
9f4a7c15d6e8b301,2400,ACTION,30,53,2453,generated,true,28,79,2,-0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,54,2454,generated,true,28,81,2,-0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,55,2455,generated,true,18,93,2,-0.02,0.01,0
9f4a7c15d6e8b301,2400,ACTION,30,56,2456,generated,true,21,92,2,-0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,57,2457,generated,true,16,99,2,-0.02,0,0
9f4a7c15d6e8b301,2400,ACTION,30,58,2458,generated,true,16,101,2,-0.02,-0.01,0
9f4a7c15d6e8b301,2400,ACTION,30,59,2459,generated,true,40,79,2,-0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,60,2460,generated,true,12,109,2,0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,61,2461,generated,true,5,118,2,0.02,-0.01,0
9f4a7c15d6e8b301,2400,ACTION,30,62,2462,generated,true,5,120,2,0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,30,63,2463,generated,true,12,115,2,0.02,0,0
9f4a7c15d6e8b301,2400,ACTION,37,1,2401,generated,true,105,21,2,0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,37,2,2402,generated,true,116,12,2,-0.01,0.02,0
9f4a7c15d6e8b301,2400,ACTION,37,3,2403,generated,true,118,12,2,-0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,37,4,2404,generated,true,109,23,2,-0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,37,5,2405,generated,true,111,23,2,-0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,37,6,2406,generated,true,102,34,2,0.02,-0.01,0
9f4a7c15d6e8b301,2400,ACTION,37,7,2407,generated,true,74,64,2,0.02,0.01,0
9f4a7c15d6e8b301,2400,ACTION,37,8,2408,generated,true,2,15,2,-0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,37,9,2409,generated,true,5,14,2,-0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,37,10,2410,generated,true,6,15,2,0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,37,11,2411,generated,true,8,15,2,-0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,37,12,2412,generated,true,76,72,2,0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,37,13,2413,generated,true,13,14,2,-0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,37,14,2414,generated,true,90,62,2,0.01,0.02,0
9f4a7c15d6e8b301,2400,ACTION,37,15,2415,generated,true,78,76,2,-0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,37,16,2416,generated,true,4,29,2,-0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,37,17,2417,generated,true,0,35,2,0.02,-0.02,0
