seed,snapshot,domain,slot,pair_kind,horizon,program_a_ordinal,program_b_ordinal,complete_horizon,delta_a,delta_ancestor,delta_b,source_interaction,identity_residual,path_divergent,differing_commits,first_difference,cumulative_action_l1,net_displacement_l1,invalid_path_a,invalid_path_ancestor,invalid_path_b
c3a5c85c97cb3127,600,D1_EXACT_VECTOR,1,C1_C2,1,13,11,true,6.556510925293e-7,6.556510925293e-7,6.556510925293e-7,0.000000000000e0,0.000000000000e0,true,9,24,0.549999987706542,0.4499999899417162,0,0,0
c3a5c85c97cb3127,600,D1_EXACT_VECTOR,1,C1_C2,2,13,11,true,1.788139343262e-7,1.788139343262e-7,1.788139343262e-7,0.000000000000e0,0.000000000000e0,true,9,24,0.549999987706542,0.4499999899417162,0,0,0
c3a5c85c97cb3127,600,D1_EXACT_VECTOR,1,C1_C2,4,13,11,true,0.000000000000e0,-1.788139343262e-7,0.000000000000e0,0.000000000000e0,0.000000000000e0,true,9,24,0.549999987706542,0.4499999899417162,0,0,0
c3a5c85c97cb3127,600,D1_EXACT_VECTOR,1,C1_C2,8,13,11,true,-8.344650268555e-7,-9.536743164062e-7,-8.344650268555e-7,0.000000000000e0,0.000000000000e0,true,9,24,0.549999987706542,0.4499999899417162,0,0,0
c3a5c85c97cb3127,600,D1_EXACT_VECTOR,1,C1_C2,16,13,11,true,-2.384185791016e-7,-4.768371582031e-7,-2.384185791016e-7,0.000000000000e0,0.000000000000e0,true,9,24,0.549999987706542,0.4499999899417162,0,0,0
c3a5c85c97cb3127,600,D1_EXACT_VECTOR,1,C1_C2,32,13,11,true,-9.715557098389e-6,-1.001358032227e-5,-9.775161743164e-6,5.960464477539e-8,0.000000000000e0,true,9,24,0.549999987706542,0.4499999899417162,0,0,0
c3a5c85c97cb3127,600,D1_EXACT_VECTOR,1,C1_C2,64,13,11,true,-7.152557373047e-6,-1.430511474609e-6,-1.126527786255e-5,4.112720489502e-6,0.000000000000e0,true,9,24,0.549999987706542,0.4499999899417162,0,0,0
c3a5c85c97cb3127,600,D2_MAGNITUDE_ONLY,0,G_C1,1,7,12,true,-5.364418029785e-7,-5.364418029785e-7,-5.364418029785e-7,0.000000000000e0,0.000000000000e0,false,0,0,0,0,0,0,0
c3a5c85c97cb3127,600,D2_MAGNITUDE_ONLY,0,G_C1,2,7,12,true,-1.192092895508e-7,-1.192092895508e-7,-1.192092895508e-7,0.000000000000e0,0.000000000000e0,false,0,0,0,0,0,0,0
c3a5c85c97cb3127,600,D2_MAGNITUDE_ONLY,0,G_C1,4,7,12,true,0.000000000000e0,1.192092895508e-7,0.000000000000e0,0.000000000000e0,0.000000000000e0,false,0,0,0,0,0,0,0
c3a5c85c97cb3127,600,D2_MAGNITUDE_ONLY,0,G_C1,8,7,12,true,7.748603820801e-7,9.536743164062e-7,7.748603820801e-7,0.000000000000e0,0.000000000000e0,false,0,0,0,0,0,0,0
c3a5c85c97cb3127,600,D2_MAGNITUDE_ONLY,0,G_C1,16,7,12,true,2.980232238770e-7,4.768371582031e-7,2.980232238770e-7,0.000000000000e0,0.000000000000e0,false,0,0,0,0,0,0,0
c3a5c85c97cb3127,600,D2_MAGNITUDE_ONLY,0,G_C1,32,7,12,true,9.834766387939e-6,1.001358032227e-5,9.834766387939e-6,0.000000000000e0,0.000000000000e0,false,0,0,0,0,0,0,0
c3a5c85c97cb3127,600,D2_MAGNITUDE_ONLY,0,G_C1,64,7,12,true,7.569789886475e-6,1.490116119385e-6,7.569789886475e-6,0.000000000000e0,0.000000000000e0,false,0,0,0,0,0,0,0
c3a5c85c97cb3127,600,D2_MAGNITUDE_ONLY,0,C1_C2,1,12,13,true,1.072883605957e-6,1.072883605957e-6,1.072883605957e-6,0.000000000000e0,0.000000000000e0,true,19,26,1.219999972730875,0.5399999879300594,0,0,0
c3a5c85c97cb3127,600,D2_MAGNITUDE_ONLY,0,C1_C2,2,12,13,true,2.980232238770e-7,2.980232238770e-7,2.980232238770e-7,0.000000000000e0,0.000000000000e0,true,19,26,1.219999972730875,0.5399999879300594,0,0,0
c3a5c85c97cb3127,600,D2_MAGNITUDE_ONLY,0,C1_C2,4,12,13,true,0.000000000000e0,-1.788139343262e-7,0.000000000000e0,0.000000000000e0,0.000000000000e0,true,19,26,1.219999972730875,0.5399999879300594,0,0,0
c3a5c85c97cb3127,600,D2_MAGNITUDE_ONLY,0,C1_C2,8,12,13,true,-1.609325408936e-6,-2.026557922363e-6,-1.609325408936e-6,0.000000000000e0,0.000000000000e0,true,19,26,1.219999972730875,0.5399999879300594,0,0,0
c3a5c85c97cb3127,600,D2_MAGNITUDE_ONLY,0,C1_C2,16,12,13,true,-5.364418029785e-7,-9.536743164062e-7,-5.364418029785e-7,0.000000000000e0,0.000000000000e0,true,19,26,1.219999972730875,0.5399999879300594,0,0,0
c3a5c85c97cb3127,600,D2_MAGNITUDE_ONLY,0,C1_C2,32,12,13,true,-1.984834671021e-5,-2.002716064453e-5,-1.919269561768e-5,-6.556510925293e-7,0.000000000000e0,true,19,26,1.219999972730875,0.5399999879300594,0,0,0
c3a5c85c97cb3127,600,D2_MAGNITUDE_ONLY,0,C1_C2,64,12,13,true,-1.507997512817e-5,-2.861022949219e-6,-1.788139343262e-6,-1.329183578491e-5,0.000000000000e0,true,19,26,1.219999972730875,0.5399999879300594,0,0,0
