policy,first,second,joint_evaluations
G4-forbidden-hot-pairs,8,16,0
G4-forbidden-hot-pairs,9,10,351
G4-forbidden-hot-pairs,9,11,383
G4-forbidden-hot-pairs,9,12,363
G4-forbidden-hot-pairs,9,13,348
G4-forbidden-hot-pairs,9,14,357
G4-forbidden-hot-pairs,9,15,375
G4-forbidden-hot-pairs,9,16,346
G4-forbidden-hot-pairs,10,11,0
G4-forbidden-hot-pairs,10,12,367
G4-forbidden-hot-pairs,10,13,370
G4-forbidden-hot-pairs,10,14,0
G4-forbidden-hot-pairs,10,15,374
G4-forbidden-hot-pairs,10,16,0
G4-forbidden-hot-pairs,11,12,374
G4-forbidden-hot-pairs,11,13,393
G4-forbidden-hot-pairs,11,14,405
G4-forbidden-hot-pairs,11,15,336
G4-forbidden-hot-pairs,11,16,457
G4-forbidden-hot-pairs,12,13,325
G4-forbidden-hot-pairs,12,14,361
G4-forbidden-hot-pairs,12,15,374
G4-forbidden-hot-pairs,12,16,348
G4-forbidden-hot-pairs,13,14,404
G4-forbidden-hot-pairs,13,15,381
G4-forbidden-hot-pairs,13,16,359
G4-forbidden-hot-pairs,14,15,390
G4-forbidden-hot-pairs,14,16,0
G4-forbidden-hot-pairs,15,16,370
G5-fresh-topology,0,1,3077
G5-fresh-topology,0,2,3077
G5-fresh-topology,0,3,0
G5-fresh-topology,0,4,564
G5-fresh-topology,0,5,0
G5-fresh-topology,0,6,0
G5-fresh-topology,0,7,0
G5-fresh-topology,0,8,0
G5-fresh-topology,0,9,0
G5-fresh-topology,0,10,0
G5-fresh-topology,0,11,0
G5-fresh-topology,0,12,564
G5-fresh-topology,0,13,0
G5-fresh-topology,0,14,0
G5-fresh-topology,0,15,0
G5-fresh-topology,0,16,0
G5-fresh-topology,1,2,3077
G5-fresh-topology,1,3,0
G5-fresh-topology,1,4,0
G5-fresh-topology,1,5,0
G5-fresh-topology,1,6,0
G5-fresh-topology,1,7,0
G5-fresh-topology,1,8,0
G5-fresh-topology,1,9,0
G5-fresh-topology,1,10,0
G5-fresh-topology,1,11,0
G5-fresh-topology,1,12,0
G5-fresh-topology,1,13,0
G5-fresh-topology,1,14,0
G5-fresh-topology,1,15,0
G5-fresh-topology,1,16,0
G5-fresh-topology,2,3,0
G5-fresh-topology,2,4,0
G5-fresh-topology,2,5,0
G5-fresh-topology,2,6,0
G5-fresh-topology,2,7,0
G5-fresh-topology,2,8,0
G5-fresh-topology,2,9,0
G5-fresh-topology,2,10,0
G5-fresh-topology,2,11,0
G5-fresh-topology,2,12,0
G5-fresh-topology,2,13,0
G5-fresh-topology,2,14,0
G5-fresh-topology,2,15,0
G5-fresh-topology,2,16,0
G5-fresh-topology,3,4,3077
G5-fresh-topology,3,5,3077
G5-fresh-topology,3,6,0
G5-fresh-topology,3,7,0
G5-fresh-topology,3,8,0
G5-fresh-topology,3,9,564
G5-fresh-topology,3,10,0
G5-fresh-topology,3,11,0
G5-fresh-topology,3,12,0
G5-fresh-topology,3,13,564
G5-fresh-topology,3,14,0
G5-fresh-topology,3,15,0
G5-fresh-topology,3,16,0
G5-fresh-topology,4,5,3077
G5-fresh-topology,4,6,0
G5-fresh-topology,4,7,0
G5-fresh-topology,4,8,0
G5-fresh-topology,4,9,0
G5-fresh-topology,4,10,0
G5-fresh-topology,4,11,0
G5-fresh-topology,4,12,564
G5-fresh-topology,4,13,0
G5-fresh-topology,4,14,0
G5-fresh-topology,4,15,0
G5-fresh-topology,4,16,0
G5-fresh-topology,5,6,0
G5-fresh-topology,5,7,0
G5-fresh-topology,5,8,0
G5-fresh-topology,5,9,0
G5-fresh-topology,5,10,0
G5-fresh-topology,5,11,0
G5-fresh-topology,5,12,0
G5-fresh-topology,5,13,0
G5-fresh-topology,5,14,0
G5-fresh-topology,5,15,0
G5-fresh-topology,5,16,0
G5-fresh-topology,6,7,3077
G5-fresh-topology,6,8,3077
G5-fresh-topology,6,9,0
G5-fresh-topology,6,10,0
G5-fresh-topology,6,11,0
G5-fresh-topology,6,12,0
G5-fresh-topology,6,13,0
G5-fresh-topology,6,14,0
G5-fresh-topology,6,15,0
G5-fresh-topology,6,16,0
G5-fresh-topology,7,8,3077
G5-fresh-topology,7,9,0
G5-fresh-topology,7,10,0
G5-fresh-topology,7,11,0
G5-fresh-topology,7,12,0
G5-fresh-topology,7,13,0
G5-fresh-topology,7,14,0
G5-fresh-topology,7,15,0
G5-fresh-topology,7,16,0
G5-fresh-topology,8,9,0
G5-fresh-topology,8,10,0
G5-fresh-topology,8,11,564
G5-fresh-topology,8,12,0
G5-fresh-topology,8,13,0
G5-fresh-topology,8,14,0
G5-fresh-topology,8,15,564
G5-fresh-topology,8,16,0
G5-fresh-topology,9,10,3077
G5-fresh-topology,9,11,3077
G5-fresh-topology,9,12,0
G5-fresh-topology,9,13,564
G5-fresh-topology,9,14,0
G5-fresh-topology,9,15,0
G5-fresh-topology,9,16,0
G5-fresh-topology,10,11,3077
G5-fresh-topology,10,12,0
G5-fresh-topology,10,13,0
G5-fresh-topology,10,14,564
G5-fresh-topology,10,15,0
G5-fresh-topology,10,16,564
G5-fresh-topology,11,12,0
G5-fresh-topology,11,13,0
G5-fresh-topology,11,14,0
G5-fresh-topology,11,15,564
G5-fresh-topology,11,16,0
G5-fresh-topology,12,13,0
G5-fresh-topology,12,14,0
G5-fresh-topology,12,15,0
G5-fresh-topology,12,16,0
G5-fresh-topology,13,14,0
G5-fresh-topology,13,15,0
G5-fresh-topology,13,16,0
G5-fresh-topology,14,15,0
G5-fresh-topology,14,16,564
G5-fresh-topology,15,16,0
