dataset_index,initialization_index,stream_seed,arm,step,train_loss,evaluation_loss,evaluation_accuracy,parameter_fingerprint
2,1,a303ea000000000f,hash_placebo,600,9.525730610e-1,1.108725429e0,0.468750,fa963a71409ba7a7
2,1,a303ea000000000f,hash_placebo,2400,5.502318740e-1,1.109238982e0,0.520833,9b9354c022776711
2,1,a303ea000000000f,hash_placebo,4200,2.446744889e-1,1.613705993e0,0.583333,43cf5dc64a08f403
2,1,a303ea0000000010,projected_order_1d,0,1.106976151e0,1.103957057e0,0.333333,8f7eaa706e75bec2
2,1,a303ea0000000010,projected_order_1d,600,9.224035144e-1,1.157074332e0,0.447917,23004681e6751bc5
2,1,a303ea0000000010,projected_order_1d,2400,5.129974484e-1,1.099637985e0,0.572917,fdfff4d8b5693adc
2,1,a303ea0000000010,projected_order_1d,4200,2.383054346e-1,1.539360046e0,0.593750,85da22319fe09cd7
2,1,a303ea0000000010,hash_placebo,0,1.106976151e0,1.103957057e0,0.333333,8f7eaa706e75bec2
2,1,a303ea0000000010,hash_placebo,600,9.046253562e-1,1.167878032e0,0.406250,a581ffca2bdd699a
2,1,a303ea0000000010,hash_placebo,2400,4.735713303e-1,1.672123313e0,0.500000,430401fb6a934425
2,1,a303ea0000000010,hash_placebo,4200,3.711918294e-1,2.270089388e0,0.520833,7f3d76b6fab3c2cb
2,2,a303ea0000000011,projected_order_1d,0,1.165537119e0,1.127236724e0,0.333333,6130575ff9ea97d2
2,2,a303ea0000000011,projected_order_1d,600,8.873360753e-1,1.181713581e0,0.385417,fe6297237eda57bb
2,2,a303ea0000000011,projected_order_1d,2400,3.825589716e-1,1.545686603e0,0.572917,eff38aea520967fe
2,2,a303ea0000000011,projected_order_1d,4200,1.370670646e-1,2.103513479e0,0.625000,2e03d96a9e37f63c
2,2,a303ea0000000011,hash_placebo,0,1.165537119e0,1.127236724e0,0.333333,6130575ff9ea97d2
2,2,a303ea0000000011,hash_placebo,600,9.114608169e-1,1.133388162e0,0.364583,1fff470f8a76c46b
2,2,a303ea0000000011,hash_placebo,2400,5.405098796e-1,1.625859857e0,0.468750,3a769fb6ccc66580
2,2,a303ea0000000011,hash_placebo,4200,3.656099141e-1,2.052603006e0,0.468750,a15f64ad3dc54751
2,2,a303ea0000000012,projected_order_1d,0,1.165537119e0,1.127236724e0,0.333333,6130575ff9ea97d2
2,2,a303ea0000000012,projected_order_1d,600,8.731329441e-1,1.159314752e0,0.416667,ef522b721f912515
2,2,a303ea0000000012,projected_order_1d,2400,5.418593884e-1,1.380807757e0,0.520833,48b988231b5c7a32
2,2,a303ea0000000012,projected_order_1d,4200,3.581661284e-1,2.039756536e0,0.562500,0da94606b7555ff0
2,2,a303ea0000000012,hash_placebo,0,1.165537119e0,1.127236724e0,0.333333,6130575ff9ea97d2
2,2,a303ea0000000012,hash_placebo,600,9.196726680e-1,1.152719855e0,0.354167,656b5d26ac3022c6
2,2,a303ea0000000012,hash_placebo,2400,5.850480199e-1,1.750351906e0,0.458333,d0e402eba74581dc
2,2,a303ea0000000012,hash_placebo,4200,4.049831629e-1,2.232724905e0,0.458333,72dc2dcd9b5023ee
