seed,step,method,panel,candidate_count,utility_rmse,sign_error_rate,cross_block_regret,selected_program_regret,false_authorization
96e104bd3c72a85f,600,hash_placebo_00,36,122,2.283891239279e-4,0.105769231,0.000000000000e0,0.000000000000e0,false
96e104bd3c72a85f,600,hash_placebo_00,37,122,2.193685586323e-4,0.211538462,0.000000000000e0,0.000000000000e0,false
96e104bd3c72a85f,600,hash_placebo_00,38,122,3.896623403735e-4,0.355769231,0.000000000000e0,0.000000000000e0,false
96e104bd3c72a85f,600,hash_placebo_00,39,122,3.746871503293e-4,0.259615385,4.517225024756e-4,4.517225024756e-4,false
96e104bd3c72a85f,600,hash_placebo_00,40,122,4.056585419011e-4,0.288461538,0.000000000000e0,0.000000000000e0,false
96e104bd3c72a85f,600,hash_placebo_00,41,122,3.382588568586e-4,0.355769231,0.000000000000e0,0.000000000000e0,false
96e104bd3c72a85f,600,hash_placebo_00,42,122,3.250444915055e-4,0.250000000,0.000000000000e0,0.000000000000e0,false
96e104bd3c72a85f,600,hash_placebo_00,43,122,2.310009616504e-4,0.221153846,3.338400565553e-4,3.338400565553e-4,false
96e104bd3c72a85f,600,hash_placebo_00,44,122,1.422563386632e-4,0.221153846,0.000000000000e0,0.000000000000e0,false
96e104bd3c72a85f,600,hash_placebo_00,45,122,4.911639520257e-4,0.413461538,7.365128840320e-4,1.352457969915e-3,true
96e104bd3c72a85f,600,hash_placebo_00,46,122,2.574216114378e-4,0.298076923,7.365128840320e-4,1.352457969915e-3,true
96e104bd3c72a85f,600,hash_placebo_00,47,122,2.842417132031e-4,0.326923077,3.338400565553e-4,3.338400565553e-4,false
96e104bd3c72a85f,600,hash_placebo_00,48,122,1.140065277369e-4,0.201923077,0.000000000000e0,0.000000000000e0,false
96e104bd3c72a85f,600,hash_placebo_00,49,122,1.670111626493e-4,0.144230769,0.000000000000e0,0.000000000000e0,false
96e104bd3c72a85f,600,hash_placebo_00,50,122,2.256728282597e-4,0.201923077,4.517225024756e-4,4.517225024756e-4,false
96e104bd3c72a85f,600,hash_placebo_00,51,122,6.186817271294e-4,0.451923077,7.365128840320e-4,1.352457969915e-3,true
96e104bd3c72a85f,600,hash_placebo_00,52,122,3.259208061370e-4,0.403846154,0.000000000000e0,0.000000000000e0,false
