seed,step,scale,method,panel,candidate_count,utility_rmse,sign_error_rate,cross_block_regret,selected_program_regret,false_authorization
9d047ac26e31b58f,600,0.5,hash_placebo_02,7,170,1.209848705186e-4,0.252941176,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,8,170,1.774381134976e-4,0.305882353,3.424442256801e-4,3.424442256801e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,9,170,1.048854782784e-4,0.270588235,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,10,170,1.357385906070e-4,0.258823529,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,11,170,1.512258047149e-4,0.258823529,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,12,170,1.865642772330e-4,0.329411765,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,13,170,1.616427360483e-4,0.300000000,2.463509736117e-4,2.463509736117e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,14,170,1.335925680116e-4,0.258823529,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,15,170,1.580556950084e-4,0.294117647,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,16,170,1.242605088299e-4,0.188235294,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,17,170,1.127562093300e-4,0.247058824,3.504306223476e-4,3.504306223476e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,18,170,1.236411475332e-4,0.276470588,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,19,170,1.603055251109e-4,0.300000000,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,20,170,1.898604593104e-4,0.329411765,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,21,170,2.160699017221e-4,0.323529412,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,22,170,1.163267570457e-4,0.247058824,0.000000000000e0,0.000000000000e0,false
