method,dataset_index,initialization_index,stream_seed,state_step,feature_dimensions,feature_payload_bytes,feature_acquisition_median_ns,feature_acquisition_ns_per_example,partition_build_median_ns,partition_build_ns_per_example,measurement_repetitions
rademacher_projection_32,1,1,a303ea000000000a,4200,32,24576,182900,1905.208,3038500,31651.042,3
sign_gradient_171,1,1,a303ea000000000a,4200,171,131328,28400,295.833,4054900,42238.542,3
full_gradient_171,1,2,a303ea000000000b,600,171,131328,25200,262.500,3603100,37532.292,3
output_layer_27,1,2,a303ea000000000b,600,27,20736,10300,107.292,1796100,18709.375,3
last_hidden_layer_72,1,2,a303ea000000000b,600,72,55296,13500,140.625,3021000,31468.750,3
rademacher_projection_32,1,2,a303ea000000000b,600,32,24576,187700,1955.208,2085300,21721.875,3
sign_gradient_171,1,2,a303ea000000000b,600,171,131328,19600,204.167,2188800,22800.000,3
full_gradient_171,1,2,a303ea000000000b,2400,171,131328,23500,244.792,6922700,72111.458,3
output_layer_27,1,2,a303ea000000000b,2400,27,20736,9700,101.042,2146300,22357.292,3
last_hidden_layer_72,1,2,a303ea000000000b,2400,72,55296,13700,142.708,6384300,66503.125,3
rademacher_projection_32,1,2,a303ea000000000b,2400,32,24576,180500,1880.208,5790900,60321.875,3
sign_gradient_171,1,2,a303ea000000000b,2400,171,131328,19700,205.208,2165900,22561.458,3
full_gradient_171,1,2,a303ea000000000b,4200,171,131328,33000,343.750,9399200,97908.333,3
output_layer_27,1,2,a303ea000000000b,4200,27,20736,10600,110.417,2205000,22968.750,3
last_hidden_layer_72,1,2,a303ea000000000b,4200,72,55296,14300,148.958,3962200,41272.917,3
rademacher_projection_32,1,2,a303ea000000000b,4200,32,24576,178100,1855.208,4780200,49793.750,3
sign_gradient_171,1,2,a303ea000000000b,4200,171,131328,25300,263.542,3062500,31901.042,3
full_gradient_171,1,2,a303ea000000000c,600,171,131328,17000,177.083,4219400,43952.083,3
output_layer_27,1,2,a303ea000000000c,600,27,20736,9900,103.125,1160800,12091.667,3
last_hidden_layer_72,1,2,a303ea000000000c,600,72,55296,13500,140.625,2063900,21498.958,3
rademacher_projection_32,1,2,a303ea000000000c,600,32,24576,178500,1859.375,2223500,23161.458,3
sign_gradient_171,1,2,a303ea000000000c,600,171,131328,24300,253.125,2976000,31000.000,3
full_gradient_171,1,2,a303ea000000000c,2400,171,131328,24200,252.083,6110700,63653.125,3
output_layer_27,1,2,a303ea000000000c,2400,27,20736,9800,102.083,2720700,28340.625,3
last_hidden_layer_72,1,2,a303ea000000000c,2400,72,55296,13700,142.708,4547300,47367.708,3
rademacher_projection_32,1,2,a303ea000000000c,2400,32,24576,177900,1853.125,4770700,49694.792,3
