method,anchor_step,reuse_commits,quality_readout_step,partition_age_at_quality_readout,verifier_examples,refresh_feature_plus_partition_ns,amortized_proxy_ns_per_commit,verifier_elapsed_ns_per_commit,projected_total_ns_per_commit,predicted_rmse_at_readout,observed_rmse_v48_at_readout,readout_phase
last_hidden_layer_72,600,25,625,25,96,2857311,114292,1037294,1151587,0.000000000000e0,,freshness_stale
last_hidden_layer_72,600,50,650,50,12,2857311,57146,128328,185474,6.887834443515e-4,,freshness_stale
last_hidden_layer_72,600,50,650,50,24,2857311,57146,256011,313157,4.509146101676e-4,,freshness_stale
last_hidden_layer_72,600,50,650,50,36,2857311,57146,387956,445102,3.360919067942e-4,,freshness_stale
last_hidden_layer_72,600,50,650,50,48,2857311,57146,516822,573968,2.603356715618e-4,,freshness_stale
last_hidden_layer_72,600,50,650,50,72,2857311,57146,795544,852691,1.503048700559e-4,,freshness_stale
last_hidden_layer_72,600,50,650,50,96,2857311,57146,1037294,1094441,0.000000000000e0,,freshness_stale
last_hidden_layer_72,600,100,700,100,12,2857311,28573,128328,156901,7.353756368752e-4,,freshness_stale
last_hidden_layer_72,600,100,700,100,24,2857311,28573,256011,284584,4.814163600296e-4,,freshness_stale
last_hidden_layer_72,600,100,700,100,36,2857311,28573,387956,416529,3.588265688356e-4,,freshness_stale
last_hidden_layer_72,600,100,700,100,48,2857311,28573,516822,545395,2.779458650554e-4,,freshness_stale
last_hidden_layer_72,600,100,700,100,72,2857311,28573,795544,824118,1.604721200099e-4,,freshness_stale
last_hidden_layer_72,600,100,700,100,96,2857311,28573,1037294,1065868,0.000000000000e0,,freshness_stale
last_hidden_layer_72,2400,1,2400,0,12,4048744,4048744,128706,4177450,1.476218717769e-3,,freshness_fresh
last_hidden_layer_72,2400,1,2400,0,24,4048744,4048744,257539,4306283,9.664120023553e-4,,freshness_fresh
last_hidden_layer_72,2400,1,2400,0,36,4048744,4048744,392994,4441739,7.203209771794e-4,,freshness_fresh
last_hidden_layer_72,2400,1,2400,0,48,4048744,4048744,529522,4578267,5.579582297079e-4,,freshness_fresh
last_hidden_layer_72,2400,1,2400,0,72,4048744,4048744,784617,4833361,3.221373341184e-4,,freshness_fresh
last_hidden_layer_72,2400,1,2400,0,96,4048744,4048744,1044211,5092956,0.000000000000e0,,freshness_fresh
last_hidden_layer_72,2400,25,2425,25,12,4048744,161950,128706,290655,1.514891446011e-3,,freshness_stale
last_hidden_layer_72,2400,25,2425,25,24,4048744,161950,257539,419489,9.917292458552e-4,,freshness_stale
last_hidden_layer_72,2400,25,2425,25,36,4048744,161950,392994,554944,7.391913363356e-4,,freshness_stale
last_hidden_layer_72,2400,25,2425,25,48,4048744,161950,529522,691472,5.725751470578e-4,,freshness_stale
last_hidden_layer_72,2400,25,2425,25,72,4048744,161950,784617,946566,3.305764152851e-4,,freshness_stale
last_hidden_layer_72,2400,25,2425,25,96,4048744,161950,1044211,1206161,0.000000000000e0,,freshness_stale
last_hidden_layer_72,2400,50,2450,50,12,4048744,80975,128706,209680,1.495496692236e-3,,freshness_stale
last_hidden_layer_72,2400,50,2450,50,24,4048744,80975,257539,338514,9.790323991042e-4,,freshness_stale
last_hidden_layer_72,2400,50,2450,50,36,4048744,80975,392994,473969,7.297276655239e-4,,freshness_stale
last_hidden_layer_72,2400,50,2450,50,48,4048744,80975,529522,610497,5.652446191682e-4,,freshness_stale
last_hidden_layer_72,2400,50,2450,50,72,4048744,80975,784617,865592,3.263441330347e-4,,freshness_stale
last_hidden_layer_72,2400,50,2450,50,96,4048744,80975,1044211,1125186,0.000000000000e0,,freshness_stale
last_hidden_layer_72,2400,100,2500,100,12,4048744,40487,128706,169193,1.533366226540e-3,,freshness_stale
last_hidden_layer_72,2400,100,2500,100,24,4048744,40487,257539,298026,1.003823828744e-3,,freshness_stale
last_hidden_layer_72,2400,100,2500,100,36,4048744,40487,392994,433482,7.482061061685e-4,,freshness_stale
last_hidden_layer_72,2400,100,2500,100,48,4048744,40487,529522,570010,5.795579577443e-4,,freshness_stale
last_hidden_layer_72,2400,100,2500,100,72,4048744,40487,784617,825104,3.346079429146e-4,,freshness_stale
last_hidden_layer_72,2400,100,2500,100,96,4048744,40487,1044211,1084699,0.000000000000e0,,freshness_stale
rademacher_projection_32,600,1,600,0,12,3081539,3081539,128328,3209867,6.724727436561e-4,,freshness_fresh
rademacher_projection_32,600,1,600,0,24,3081539,3081539,256011,3337550,4.402367500855e-4,,freshness_fresh
rademacher_projection_32,600,1,600,0,36,3081539,3081539,387956,3469494,3.281330997949e-4,,freshness_fresh
rademacher_projection_32,600,1,600,0,48,3081539,3081539,516822,3598361,2.541708061690e-4,,freshness_fresh
rademacher_projection_32,600,1,600,0,72,3081539,3081539,795544,3877083,1.467455833618e-4,,freshness_fresh
rademacher_projection_32,600,1,600,0,96,3081539,3081539,1037294,4118833,0.000000000000e0,,freshness_fresh
rademacher_projection_32,600,25,625,25,12,3081539,123262,128328,251589,6.859670279992e-4,,freshness_stale
rademacher_projection_32,600,25,625,25,24,3081539,123262,256011,379273,4.490708328643e-4,,freshness_stale
rademacher_projection_32,600,25,625,25,36,3081539,123262,387956,511217,3.347176363324e-4,,freshness_stale
rademacher_projection_32,600,25,625,25,48,3081539,123262,516822,640084,2.592711662394e-4,,freshness_stale
rademacher_projection_32,600,25,625,25,72,3081539,123262,795544,918806,1.496902776214e-4,,freshness_stale
rademacher_projection_32,600,25,625,25,96,3081539,123262,1037294,1160556,0.000000000000e0,,freshness_stale
rademacher_projection_32,600,50,650,50,12,3081539,61631,128328,189959,6.974589610523e-4,,freshness_stale
rademacher_projection_32,600,50,650,50,24,3081539,61631,256011,317642,4.565940690211e-4,,freshness_stale
rademacher_projection_32,600,50,650,50,36,3081539,61631,387956,449586,3.403251254848e-4,,freshness_stale
rademacher_projection_32,600,50,650,50,48,3081539,61631,516822,578453,2.636147086597e-4,,freshness_stale
rademacher_projection_32,600,50,650,50,72,3081539,61631,795544,857175,1.521980230070e-4,,freshness_stale
rademacher_projection_32,600,50,650,50,96,3081539,61631,1037294,1098925,0.000000000000e0,,freshness_stale
rademacher_projection_32,600,100,700,100,12,3081539,30815,128328,159143,7.466017686561e-4,,freshness_stale
rademacher_projection_32,600,100,700,100,24,3081539,30815,256011,286826,4.887655884078e-4,,freshness_stale
rademacher_projection_32,600,100,700,100,36,3081539,30815,387956,418771,3.643043602475e-4,,freshness_stale
rademacher_projection_32,600,100,700,100,48,3081539,30815,516822,547638,2.821889440379e-4,,freshness_stale
rademacher_projection_32,600,100,700,100,72,3081539,30815,795544,826360,1.629218628026e-4,,freshness_stale
rademacher_projection_32,600,100,700,100,96,3081539,30815,1037294,1068110,0.000000000000e0,,freshness_stale
rademacher_projection_32,2400,1,2400,0,12,4186767,4186767,128706,4315472,1.517491149264e-3,,freshness_fresh
rademacher_projection_32,2400,1,2400,0,24,4186767,4186767,257539,4444306,9.934311511327e-4,,freshness_fresh
rademacher_projection_32,2400,1,2400,0,36,4186767,4186767,392994,4579761,7.404598616329e-4,,freshness_fresh
rademacher_projection_32,2400,1,2400,0,48,4186767,4186767,529522,4716289,5.735577425278e-4,,freshness_fresh
rademacher_projection_32,2400,1,2400,0,72,4186767,4186767,784617,4971383,3.311437170442e-4,,freshness_fresh
rademacher_projection_32,2400,1,2400,0,96,4186767,4186767,1044211,5230978,0.000000000000e0,,freshness_fresh
rademacher_projection_32,2400,25,2425,25,12,4186767,167471,128706,296176,1.554232062132e-3,,freshness_stale
rademacher_projection_32,2400,25,2425,25,24,4186767,167471,257539,425010,1.017483724607e-3,,freshness_stale
rademacher_projection_32,2400,25,2425,25,36,4186767,167471,392994,560465,7.583875914069e-4,,freshness_stale
rademacher_projection_32,2400,25,2425,25,48,4186767,167471,529522,696993,5.874445022979e-4,,freshness_stale
rademacher_projection_32,2400,25,2425,25,72,4186767,167471,784617,952087,3.391612415356e-4,,freshness_stale
rademacher_projection_32,2400,25,2425,25,96,4186767,167471,1044211,1211682,0.000000000000e0,,freshness_stale
rademacher_projection_32,2400,50,2450,50,12,4186767,83735,128706,212441,1.538388754263e-3,,freshness_stale
rademacher_projection_32,2400,50,2450,50,24,4186767,83735,257539,341274,1.007111844954e-3,,freshness_stale
rademacher_projection_32,2400,50,2450,50,36,4186767,83735,392994,476730,7.506568487542e-4,,freshness_stale
rademacher_projection_32,2400,50,2450,50,48,4186767,83735,529522,613258,5.814562947883e-4,,freshness_stale
rademacher_projection_32,2400,50,2450,50,72,4186767,83735,784617,868352,3.357039483180e-4,,freshness_stale
rademacher_projection_32,2400,50,2450,50,96,4186767,83735,1044211,1127946,0.000000000000e0,,freshness_stale
rademacher_projection_32,2400,100,2500,100,12,4186767,41868,128706,170573,1.568411565750e-3,,freshness_stale
rademacher_projection_32,2400,100,2500,100,24,4186767,41868,257539,299407,1.026766388699e-3,,freshness_stale
rademacher_projection_32,2400,100,2500,100,36,4186767,41868,392994,434862,7.653064807142e-4,,freshness_stale
rademacher_projection_32,2400,100,2500,100,48,4186767,41868,529522,571390,5.928038509101e-4,,freshness_stale
rademacher_projection_32,2400,100,2500,100,72,4186767,41868,784617,826484,3.422554628996e-4,,freshness_stale
rademacher_projection_32,2400,100,2500,100,96,4186767,41868,1044211,1086079,0.000000000000e0,,freshness_stale
sign_gradient_171,600,1,600,0,12,2961772,2961772,128328,3090100,6.957463108962e-4,,freshness_fresh
sign_gradient_171,600,1,600,0,24,2961772,2961772,256011,3217783,4.554728763097e-4,,freshness_fresh
sign_gradient_171,600,1,600,0,36,2961772,2961772,387956,3349728,3.394894377786e-4,,freshness_fresh
sign_gradient_171,600,1,600,0,48,2961772,2961772,516822,3478594,2.629673877460e-4,,freshness_fresh
sign_gradient_171,600,1,600,0,72,2961772,2961772,795544,3757317,1.518242921032e-4,,freshness_fresh
sign_gradient_171,600,1,600,0,96,2961772,2961772,1037294,3999067,0.000000000000e0,,freshness_fresh
sign_gradient_171,600,25,625,25,12,2961772,118471,128328,246799,7.083156273243e-4,,freshness_stale
sign_gradient_171,600,25,625,25,24,2961772,118471,256011,374482,4.637014254477e-4,,freshness_stale
sign_gradient_171,600,25,625,25,36,2961772,118471,387956,506426,3.456226361882e-4,,freshness_stale
sign_gradient_171,600,25,625,25,48,2961772,118471,516822,635293,2.677181428058e-4,,freshness_stale
sign_gradient_171,600,25,625,25,72,2961772,118471,795544,914015,1.545671418159e-4,,freshness_stale
sign_gradient_171,600,25,625,25,96,2961772,118471,1037294,1155765,0.000000000000e0,,freshness_stale
sign_gradient_171,600,50,650,50,12,2961772,59235,128328,187563,7.198726334561e-4,,freshness_stale
sign_gradient_171,600,50,650,50,24,2961772,59235,256011,315247,4.712672619343e-4,,freshness_stale
sign_gradient_171,600,50,650,50,36,2961772,59235,387956,447191,3.512618777517e-4,,freshness_stale
sign_gradient_171,600,50,650,50,48,2961772,59235,516822,576058,2.720862805380e-4,,freshness_stale
sign_gradient_171,600,50,650,50,72,2961772,59235,795544,854780,1.570890873114e-4,,freshness_stale
