cell_id,state_arm,step,source,candidate_count,spearman,pairwise_agreement,pair_count,top1_agreement,candidate_regret,utility_spread
3,sentinel_fixed128,600,training,170,0.770330402,0.799498747,14364,0.000000000,1.827955245972e-3,7.613062858582e-3
3,sentinel_fixed128,600,fixed,170,-0.208325090,0.421617104,14359,0.000000000,8.109927177429e-3,1.219809055328e-3
3,sentinel_fixed128,600,rotating,170,0.795378381,0.820650282,14363,0.000000000,1.578807830811e-3,1.118016242981e-2
3,sentinel_fixed128,2400,training,170,0.451588871,0.663046505,14364,0.000000000,4.322171211243e-3,2.371037006378e-2
3,sentinel_fixed128,2400,fixed,170,-0.167027764,0.442362611,14357,0.000000000,1.013994216919e-2,1.477733254433e-3
3,sentinel_fixed128,2400,rotating,170,0.579752554,0.715886940,14364,0.000000000,5.306363105774e-3,3.248167037964e-2
3,sentinel_fixed128,4200,training,170,0.473100433,0.666550644,14365,0.000000000,1.031970977783e-2,3.484797477722e-2
3,sentinel_fixed128,4200,fixed,170,-0.177263964,0.429904589,14359,0.000000000,2.506136894226e-2,1.387149095535e-3
3,sentinel_fixed128,4200,rotating,170,0.191047930,0.569926906,14365,0.000000000,3.624200820923e-3,2.895712852478e-2
3,sentinel_rotating128,0,training,170,0.607622787,0.731632511,14346,0.000000000,3.349781036377e-5,2.069830894470e-3
3,sentinel_rotating128,0,fixed,170,-0.257470235,0.406019228,14354,0.000000000,1.066088676453e-3,2.182841300964e-3
3,sentinel_rotating128,0,rotating,170,0.436533031,0.659395038,14348,0.000000000,2.899169921875e-4,5.332231521606e-4
3,sentinel_rotating128,600,training,170,0.317345341,0.621073891,14359,0.000000000,2.427220344543e-3,3.322184085846e-3
3,sentinel_rotating128,600,fixed,170,-0.457526134,0.331430163,14362,0.000000000,2.005875110626e-3,4.165172576904e-3
3,sentinel_rotating128,600,rotating,170,0.217326310,0.569756913,14357,0.000000000,9.456872940063e-4,2.614200115204e-3
3,sentinel_rotating128,2400,training,170,0.143972272,0.544213898,14362,0.000000000,3.250122070312e-3,5.371570587158e-3
3,sentinel_rotating128,2400,fixed,170,-0.226861984,0.413144886,14363,0.000000000,2.374231815338e-3,7.851302623749e-3
3,sentinel_rotating128,2400,rotating,170,0.129211099,0.553335190,14362,0.000000000,2.374231815338e-3,4.295825958252e-3
3,sentinel_rotating128,4200,training,170,0.113407880,0.536742107,14316,0.000000000,2.081513404846e-3,3.872036933899e-3
3,sentinel_rotating128,4200,fixed,170,-0.261813900,0.390453561,14309,0.000000000,1.587688922882e-3,9.642899036407e-3
3,sentinel_rotating128,4200,rotating,170,0.240082499,0.589997905,14317,0.000000000,1.828730106354e-3,5.156099796295e-3
4,training_full96,0,training,170,0.242971387,0.585308057,14348,0.000000000,7.652044296265e-4,1.165032386780e-3
4,training_full96,0,fixed,170,0.196694913,0.572254738,14352,0.000000000,4.483461380005e-4,1.793980598450e-3
4,training_full96,0,rotating,170,0.448860403,0.663159362,14351,0.000000000,6.203651428223e-4,2.122879028320e-3
4,training_full96,600,training,170,-0.083102967,0.467971035,14362,0.000000000,5.743741989136e-3,1.535415649414e-3
4,training_full96,600,fixed,170,0.297972045,0.612808911,14365,0.000000000,1.423478126526e-3,8.011221885681e-3
4,training_full96,600,rotating,170,0.319588082,0.625008703,14363,0.000000000,5.112648010254e-3,9.276509284973e-3
4,training_full96,2400,training,170,0.026969923,0.510413039,14357,0.000000000,4.967451095581e-3,6.640329957008e-4
4,training_full96,2400,fixed,170,-0.054700448,0.482422555,14365,0.000000000,2.929282188416e-2,2.128553390503e-2
4,training_full96,2400,rotating,170,0.413362156,0.654368256,14365,0.000000000,1.575779914856e-2,3.096246719360e-2
4,training_full96,4200,training,170,-0.116810118,0.456074035,7672,0.000000000,3.326082229614e-2,2.642471372383e-6
4,training_full96,4200,fixed,170,0.394804690,0.649661052,14309,0.000000000,3.745174407959e-2,7.036399841309e-2
4,training_full96,4200,rotating,170,0.499425533,0.686560906,14309,0.000000000,4.526853561401e-2,6.168794631958e-2
4,sentinel_fixed128,0,training,170,0.242971387,0.585308057,14348,0.000000000,7.652044296265e-4,1.165032386780e-3
4,sentinel_fixed128,0,fixed,170,0.196694913,0.572254738,14352,0.000000000,4.483461380005e-4,1.793980598450e-3
4,sentinel_fixed128,0,rotating,170,0.448860403,0.663159362,14351,0.000000000,6.203651428223e-4,2.122879028320e-3
4,sentinel_fixed128,600,training,170,0.191884632,0.576441103,14364,0.000000000,1.772284507751e-3,6.524085998535e-3
4,sentinel_fixed128,600,fixed,170,-0.113775911,0.463022284,14360,0.000000000,2.285480499268e-3,1.317560672760e-3
4,sentinel_fixed128,600,rotating,170,0.198549105,0.587121476,14365,0.000000000,3.317952156067e-3,8.608341217041e-3
4,sentinel_fixed128,2400,training,170,-0.305153428,0.390490114,14364,0.000000000,3.229141235352e-2,2.006292343140e-2
4,sentinel_fixed128,2400,fixed,170,0.041817166,0.510584958,14360,0.000000000,1.503610610962e-2,1.428276300430e-3
4,sentinel_fixed128,2400,rotating,170,0.441453363,0.667710944,14364,0.000000000,1.588070392609e-2,2.617990970612e-2
4,sentinel_fixed128,4200,training,170,-0.362308707,0.371066555,14364,0.000000000,3.691196441650e-2,3.759741783142e-2
4,sentinel_fixed128,4200,fixed,170,-0.153386663,0.443538837,14355,0.000000000,3.620123863220e-2,1.255206763744e-3
4,sentinel_fixed128,4200,rotating,170,-0.015694833,0.493943191,14364,0.000000000,2.589321136475e-2,2.868545055389e-2
4,sentinel_rotating128,0,training,170,0.242971387,0.585308057,14348,0.000000000,7.652044296265e-4,1.165032386780e-3
4,sentinel_rotating128,0,fixed,170,0.196694913,0.572254738,14352,0.000000000,4.483461380005e-4,1.793980598450e-3
4,sentinel_rotating128,0,rotating,170,0.448860403,0.663159362,14351,0.000000000,6.203651428223e-4,2.122879028320e-3
4,sentinel_rotating128,600,training,170,-0.182091752,0.435406365,14359,0.000000000,6.384849548340e-4,2.729713916779e-3
4,sentinel_rotating128,600,fixed,170,-0.149143505,0.446758131,14359,0.000000000,8.314847946167e-4,1.784682273865e-3
4,sentinel_rotating128,600,rotating,170,0.126235338,0.544802618,14363,0.000000000,1.568555831909e-3,2.698898315430e-3
4,sentinel_rotating128,2400,training,170,0.148006026,0.551308828,14364,0.000000000,4.212319850922e-3,4.006266593933e-3
4,sentinel_rotating128,2400,fixed,170,0.107535024,0.535199499,14361,0.000000000,4.742264747620e-3,3.981709480286e-3
4,sentinel_rotating128,2400,rotating,170,-0.011381220,0.500174034,14365,0.000000000,6.320476531982e-3,2.631783485413e-3
4,sentinel_rotating128,4200,training,170,0.176369652,0.566534364,14361,0.000000000,6.447136402130e-3,4.738271236420e-3
4,sentinel_rotating128,4200,fixed,170,-0.014857044,0.496657847,14362,0.000000000,4.374086856842e-3,3.976345062256e-3
4,sentinel_rotating128,4200,rotating,170,0.035038910,0.514446843,14363,0.000000000,3.691554069519e-3,5.883395671844e-3
5,training_full96,0,training,170,0.387098449,0.651910206,14344,0.000000000,1.369714736938e-4,1.843929290771e-3
5,training_full96,0,fixed,170,0.496246621,0.692221912,14348,0.000000000,1.369714736938e-4,1.842617988586e-3
5,training_full96,0,rotating,170,0.433658954,0.667897965,14348,0.000000000,7.799863815308e-4,2.764821052551e-3
5,training_full96,600,training,170,0.562366039,0.711579974,14361,0.000000000,2.667605876923e-3,9.282946586609e-3
5,training_full96,600,fixed,170,0.105687269,0.544289694,14360,0.000000000,2.667605876923e-3,9.434700012207e-3
5,training_full96,600,rotating,170,0.418720021,0.658426184,14360,0.000000000,3.772974014282e-4,1.347053050995e-2
5,training_full96,2400,training,170,0.210693761,0.569688109,14364,0.000000000,1.892566680908e-2,2.808141708374e-2
5,training_full96,2400,fixed,170,0.103697525,0.541283765,14364,0.000000000,1.520013809204e-2,3.181290626526e-2
5,training_full96,2400,rotating,170,0.549125645,0.696490739,14362,0.000000000,1.842761039734e-2,3.208518028259e-2
5,training_full96,4200,training,170,0.401113087,0.643737381,14363,0.000000000,1.027774810791e-2,4.721975326538e-2
5,training_full96,4200,fixed,170,0.378381382,0.636680128,14362,0.000000000,1.848411560059e-2,5.529022216797e-2
5,training_full96,4200,rotating,170,0.431789537,0.651604818,14363,0.000000000,2.402639389038e-2,5.294322967529e-2
5,sentinel_fixed128,0,training,170,0.387098449,0.651910206,14344,0.000000000,1.369714736938e-4,1.843929290771e-3
5,sentinel_fixed128,0,fixed,170,0.496246621,0.692221912,14348,0.000000000,1.369714736938e-4,1.842617988586e-3
5,sentinel_fixed128,0,rotating,170,0.433658954,0.667897965,14348,0.000000000,7.799863815308e-4,2.764821052551e-3
5,sentinel_fixed128,600,training,170,0.415085906,0.652951824,14364,0.000000000,7.644891738892e-4,8.815288543701e-3
5,sentinel_fixed128,600,fixed,170,-0.242866573,0.418465395,14362,0.000000000,2.781152725220e-3,2.371668815613e-3
5,sentinel_fixed128,600,rotating,170,0.650866783,0.743071996,14362,0.000000000,1.822829246521e-3,8.890748023987e-3
5,sentinel_fixed128,2400,training,170,0.538363600,0.690942004,14363,0.000000000,7.067322731018e-3,3.299868106842e-2
5,sentinel_fixed128,2400,fixed,170,-0.030384579,0.486979529,14362,0.000000000,1.698088645935e-2,2.609759569168e-3
5,sentinel_fixed128,2400,rotating,170,0.369055129,0.627819549,14364,0.000000000,7.077455520630e-4,2.297830581665e-2
5,sentinel_fixed128,4200,training,170,0.139691465,0.544903926,14364,0.000000000,3.491973876953e-2,6.506586074829e-2
